userId,name,rating
10181060,Counter-Strike Source,1
55367062,Shovel Knight,1
8784496,Counter-Strike,1
24721232,The Binding of Isaac Rebirth,5
142754561,NEOTOKYO,5
10599862,Napoleon Total War,3
66950079,Infestation Survivor Stories,1
294620986,Transformice,1
64023574,F.E.A.R. Online,2
242886720,Clicker Heroes,1
24469287,X3 Terran Conflict,1
187463594,Saints Row IV,3
106147454,Dead Island,4
304971849,Emily is Away,4
195607832,Tropico 4,5
166048025,Sid Meier's Civilization III Complete,1
232463267,Dota 2,5
304908910,Stronghold Crusader 2,2
259038184,Grand Theft Auto V,5
77980915,Call of Duty Black Ops - Multiplayer,5
59756932,Mafia II,5
62990992,Alan Wake's American Nightmare,5
73518199,The Way of Life Free Edition,4
63157803,Fable III,5
54310644,Rocket League,5
49893565,sZone-Online,1
141097888,Dota 2,5
59790700,Dishonored,1
166228529,Dota 2,1
24632218,This War of Mine,3
11952990,Hotline Miami,3
58905429,Call of Juarez Gunslinger,5
39758678,Half-Life 2 Lost Coast,5
5232588,Ricochet,3
62990992,Revolution Ace,5
55751308,Half-Life 2,5
561758,The Elder Scrolls V Skyrim,1
152419713,Sniper Elite V2,1
157235483,Company of Heroes (New Steam Version),5
11161178,Counter-Strike Source,1
247884568,Dota 2,1
33651880,Reus,5
26802825,Burnout Paradise The Ultimate Box,1
103731895,ARK Survival Evolved,5
174459790,Team Fortress 2,2
121497634,Tomb Raider,3
165101762,Dota 2,1
74764496,Project CARS,5
309824202,Dota 2,1
156615447,Insurgency,1
82352462,Mount & Blade Warband,1
177190409,Dota 2,1
127272741,Enclave,5
17284266,Counter-Strike Source,1
63157803,Borderlands,5
255508119,Counter-Strike Global Offensive,1
149810726,State of Decay,5
74126541,Empire Total War,2
135400225,Watch_Dogs,5
9845449,Half-Life 2,1
46607365,Endless Space,5
294620986,Genesis Online,5
44472980,The Elder Scrolls V Skyrim,1
81585721,Gotham City Impostors Free To Play,1
19085114,Age of Mythology Extended Edition,5
16645459,Half-Life 2 Episode Two,5
70970228,Darksiders II,2
113580708,Garry's Mod,2
47384303,The Elder Scrolls V Skyrim,5
111130695,Call of Duty Modern Warfare 2 - Multiplayer,3
168324795,Giana Sisters Twisted Dreams,1
55975168,Portal 2,5
169529166,Team Fortress 2,1
118086742,Scribblenauts Unlimited,5
14465359,Counter-Strike Global Offensive,5
193103684,Neverwinter,5
171874166,Dota 2,1
220434034,Rise of Incarnates,5
49462664,Fallout 4,4
155919035,BattleBlock Theater,3
11978743,The Elder Scrolls V Skyrim,1
44472980,Pillars of Eternity,5
64319625,Counter-Strike Source,5
10253354,Call of Duty Black Ops II,5
59945701,7 Days to Die,1
130324181,Counter-Strike Condition Zero,1
33452361,Dead Island,5
116325720,DmC Devil May Cry,5
78341587,Sonic Generations,1
126191291,Team Fortress 2,4
53875128,Lone Survivor The Director's Cut,3
67729331,Crysis 2 Maximum Edition,2
34919318,Killing Floor Mod Defence Alliance 2,1
138958592,Grand Theft Auto V,2
43360645,Killing Floor 2,4
140408017,Goat Simulator,2
7440594,Remember Me,5
24841093,Unturned,1
75232211,Grand Theft Auto San Andreas,5
82287546,DARK SOULS II,3
130312302,DiRT 3 Complete Edition,2
127628725,Life Is Strange,2
63993064,Dota 2,1
36557643,Braid,5
166858869,Dirty Bomb,1
69953893,South Park The Stick of Truth,4
129659946,Total War ROME II - Emperor Edition,4
119170251,The Elder Scrolls V Skyrim,2
99374297,RIFT,1
49893565,Skullgirls Endless Beta,4
